basename,songLengthMs,bSP,BSP,DSP,ESP,CSP,bDP,BDP,DDP,EDP,CDP
onda,91409,,51 28 0 0 0,58 49 43 0 7,82 56 34 0 33,,,52 56 29 0 0,59 49 69 0 7,76 56 58 0 26,
ondo,107429,17 17 10 0 0,43 43 56 13 0,68 61 38 22 33,95 78 40 19 101,,,42 43 49 12 0,66 61 38 22 31,93 78 21 19 100,
oneg,118667,11 15 1 12 0,21 22 5 13 0,51 52 0 31 8,73 60 10 30 30,,,20 22 5 12 0,49 52 0 35 7,71 60 5 32 28,
ones,83471,,25 17 0 0 0,48 35 12 0 5,63 47 0 0 31,,,24 17 0 0 0,46 35 16 0 3,59 47 0 0 25,
onet,86865,,37 42 23 0 0,43 48 92 0 3,60 60 47 0 22,,,37 48 34 0 0,45 48 47 0 5,67 54 34 0 26,
onga2,119111,9 22 3 29 0,26 28 9 34 0,44 39 25 41 9,63 67 32 44 32,117 117 43 47 116,,26 28 3 35 0,46 39 12 40 10,62 56 14 43 28,129 109 29 44 120
ongm,111797,21 20 3 46 0,44 40 16 91 5,68 67 30 70 41,107 103 20 67 106,147 103 61 79 118,,43 40 12 63 5,69 60 27 57 41,110 94 21 54 107,158 103 50 58 119
only,83855,15 15 0 0 0,22 15 0 0 0,26 23 7 0 4,49 34 3 0 42,,,23 19 9 0 0,35 31 3 0 12,50 34 3 0 36,
onme,97653,23 28 12 12 0,33 28 0 39 0,48 42 16 27 7,68 56 32 0 33,,,33 28 0 41 0,48 42 30 2 7,64 56 25 12 30,
onmy,92296,13 16 5 0 0,24 21 3 14 0,37 32 7 37 6,55 43 25 36 23,,,24 21 5 14 0,36 32 5 28 5,55 43 23 40 20,
onna,123529,18 22 9 24 0,32 34 18 35 0,51 45 18 42 16,67 68 36 18 57,,,32 34 18 35 0,50 45 16 41 16,66 56 27 34 41,
onra,99028,13 17 1 18 0,24 29 3 39 0,35 35 16 82 2,48 47 18 58 13,54 47 76 36 25,,29 29 5 56 0,43 41 23 84 8,66 59 25 35 45,51 35 69 66 41
onra2,95665,14 17 0 42 0,23 29 1 57 0,34 35 14 101 2,47 47 18 65 13,54 47 85 54 33,,28 29 5 75 0,42 41 23 102 8,65 59 25 53 46,51 41 76 85 49
onst,105879,9 8 0 0 0,12 17 0 98 0,26 25 1 137 1,41 34 0 109 16,,,,,,
ontb,97415,18 19 1 0 0,43 52 34 71 2,60 59 49 51 22,75 72 54 38 69,,,44 32 5 18 3,58 46 5 18 22,73 65 16 18 70,
onth,97852,11 16 0 0 0,22 21 0 0 0,44 37 27 0 6,67 48 20 0 40,,,24 21 0 0 0,44 37 27 0 6,67 48 20 0 39,
onts,86767,21 21 1 0 0,35 32 20 0 0,43 32 18 0 6,49 38 16 0 24,,,26 21 0 0 0,40 21 0 0 0,50 38 0 0 13,
onyx,123600,26 33 7 26 0,49 41 7 22 0,66 58 18 32 17,95 66 25 11 45,157 108 25 17 105,,49 41 1 16 1,66 66 14 27 16,95 75 14 10 44,151 108 25 8 102
oody,113635,15 16 3 0 0,34 32 16 9 0,53 48 21 33 4,75 63 52 13 22,70 63 50 22 30,,32 32 16 9 0,56 48 23 40 4,75 63 43 19 22,70 63 50 21 30
oops,183632,,27 27 12 0 0,52 38 12 0 11,61 44 9 0 34,,,29 27 1 0 0,48 38 9 0 9,76 88 10 0 60,
oose,85711,,13 17 0 0 0,29 35 7 0 0,49 40 32 0 21,,,13 17 0 0 0,34 35 14 0 0,53 46 38 0 15,
opee,99356,14 13 0 0 0,24 18 0 0 0,32 27 3 14 8,56 59 90 17 31,,,21 18 0 0 0,32 27 1 14 5,54 50 40 1 25,
open,93659,6 6 1 8 0,18 17 1 29 1,31 30 18 46 14,40 41 16 41 62,,,18 17 3 29 1,32 27 12 46 15,41 41 12 41 61,
oper,87124,,33 28 10 0 0,41 45 27 0 5,62 56 60 0 24,63 67 50 0 44,,33 28 12 0 0,47 45 14 0 8,55 45 10 0 21,
opsi,95635,12 23 9 0 0,17 23 5 11 0,32 35 10 2 8,41 31 23 5 20,,,20 23 5 11 0,33 31 5 2 9,42 39 27 3 25,
opti,92890,20 27 1 0 0,24 34 12 39 0,43 41 5 38 12,88 82 1 13 103,,,23 27 5 49 0,43 41 1 37 15,67 61 5 5 63,
oran,88000,25 22 0 6 0,33 37 18 10 0,49 45 14 29 4,57 45 14 0 12,74 60 14 11 30,,37 37 10 10 0,49 45 10 32 5,55 45 14 5 11,71 60 14 17 27
orca,119231,29 40 3 12 43,39 51 21 19 79,71 86 67 10 112,124 127 63 10 143,,,39 51 18 15 72,75 86 10 18 112,135 122 36 7 153,
ordi,89840,8 11 0 0 0,15 28 5 0 0,31 34 10 78 0,61 46 14 61 38,,,22 23 5 0 0,33 40 21 89 4,63 46 14 15 24,
oren,87163,13 15 1 0 0,26 31 1 23 0,52 39 14 25 5,66 63 38 35 17,,,29 31 1 23 0,52 39 14 25 5,66 63 27 35 17,
orio,92287,14 16 0 0 0,50 58 47 0 5,67 66 61 0 29,86 75 47 0 47,,,50 50 36 0 5,60 66 56 0 23,83 75 47 0 43,
oroc,125694,9 14 0 52 0,37 35 3 32 1,60 56 12 32 31,98 106 34 40 107,,,30 35 1 33 0,59 56 12 32 28,98 106 30 44 109,
oron,91321,14 15 0 0 0,31 30 18 28 0,46 52 34 22 6,63 60 14 37 21,75 60 36 6 36,,31 45 20 31 0,45 52 30 13 6,65 52 7 38 24,80 60 27 15 40
oron2,91319,14 15 0 0 0,31 30 18 28 0,46 52 34 22 6,63 60 14 37 21,75 60 36 6 36,,31 45 20 31 0,45 52 30 13 6,65 52 7 38 23,80 60 27 15 40
orpu,121411,15 21 5 26 0,38 35 20 24 0,63 49 34 20 17,87 78 40 26 76,,,39 35 18 4 0,63 49 27 21 17,89 78 23 27 70,
orrs,124570,22 35 3 30 0,37 35 5 36 0,57 70 21 34 14,75 78 41 37 29,,,39 43 3 42 0,57 61 9 34 14,73 70 23 36 28,
osak1,102360,33 37 3 26 2,51 75 14 36 12,70 88 20 34 39,87 113 41 40 88,,,45 37 7 47 9,67 88 9 41 32,85 113 38 38 91,
osak2,102360,33 37 3 26 2,51 75 14 36 13,70 88 20 34 40,82 113 96 16 80,,,45 44 27 37 10,67 88 14 40 33,85 113 52 22 88,
osak3,104760,33 38 3 25 2,52 77 14 38 14,71 90 20 36 46,87 114 34 89 100,,,47 45 9 38 10,68 90 9 42 38,87 114 32 65 100,
osen,119744,25 30 7 17 0,44 61 27 31 5,64 69 21 38 37,93 92 18 33 102,,,44 61 25 31 5,63 61 21 38 36,87 92 20 28 101,
oslv,99426,15 17 1 0 0,22 23 3 0 0,44 40 16 0 8,60 46 27 0 25,79 52 74 92 31,,29 29 10 4 0,51 46 16 37 14,71 52 10 33 32,76 46 103 77 26
oste,81426,19 15 0 0 0,14 21 5 23 0,28 26 9 42 1,37 36 10 60 5,,,22 36 9 16 0,29 26 9 16 1,36 36 10 30 5,
ostt,102503,26 30 12 33 0,50 45 9 29 7,81 60 14 28 39,135 110 34 20 106,175 110 63 18 112,,50 45 7 47 7,76 60 12 38 35,146 110 27 21 107,199 110 58 18 115
otog,111463,25 33 9 34 0,45 57 14 46 1,59 66 9 62 18,76 82 29 59 37,,,45 57 14 46 1,59 66 7 62 18,76 82 27 56 37,
otom,101333,24 22 1 0 0,35 52 12 52 0,48 52 23 53 6,67 75 38 45 23,,,34 52 34 29 0,49 52 16 44 8,65 75 45 47 25,
ourl,125052,25 23 3 15 0,49 63 36 39 0,80 71 34 36 27,110 95 43 35 96,,,49 63 36 45 0,79 63 36 36 26,111 95 47 29 93,
ourm,116570,21 23 0 20 0,35 28 5 81 2,49 46 5 90 17,65 51 16 71 46,60 46 25 3 23,,36 34 7 40 1,49 46 18 42 12,68 74 20 36 47,57 63 21 3 21
ours,100640,14 22 3 0 0,25 22 3 0 0,41 39 20 0 7,56 56 30 0 39,,,,,,
ouso,107200,23 25 7 2 0,39 43 29 21 0,47 50 38 22 8,59 56 30 26 24,87 100 49 21 99,,39 43 30 21 0,47 50 38 22 8,59 56 32 25 24,88 100 43 20 100
oute,117672,33 34 7 0 0,34 34 10 123 0,52 57 20 111 1,85 107 40 64 14,85 92 32 29 20,,34 34 10 124 0,52 57 20 111 1,85 92 34 29 21,
outo,93413,15 25 5 0 0,29 31 5 61 1,58 63 38 66 43,83 113 30 101 107,141 116 14 8 114,,28 31 5 61 0,57 63 32 66 43,81 110 27 103 107,151 116 10 0 116
over,66883,,33 33 21 0 0,41 44 14 0 9,43 44 25 0 26,,,34 33 21 0 1,43 44 32 0 26,,
ovso,116130,22 25 10 19 0,37 38 38 18 0,66 64 23 30 44,87 101 61 35 103,123 101 69 24 111,,35 38 32 19 0,66 58 20 22 43,85 101 43 31 103,126 101 60 23 113
ovtp,122218,37 40 7 73 3,63 107 38 85 98,91 107 45 62 117,132 123 65 42 137,151 140 78 32 153,,61 107 32 69 92,90 107 27 61 120,142 123 50 42 146,161 123 61 32 154
oyou,86300,13 12 0 0 0,20 25 1 23 0,47 43 23 10 9,82 62 1 8 71,,,21 25 1 33 0,47 50 1 10 6,88 62 0 19 67,
paea,126172,12 14 5 6 0,38 36 23 38 0,69 58 18 29 28,112 108 56 41 106,,,36 36 12 47 0,68 58 25 28 26,111 108 21 39 106,
pafr,98407,32 33 12 0 0,55 50 30 0 0,65 66 58 0 10,85 66 56 0 31,,,58 58 25 0 0,67 66 41 0 9,88 66 38 0 33,
paks,108637,27 31 5 4 0,57 63 34 21 10,90 71 34 20 43,143 113 61 28 105,,,58 63 40 16 10,88 71 40 14 41,155 113 60 22 105,
panh,102545,25 34 18 0 0,56 60 27 16 4,87 94 47 18 51,127 114 50 14 101,,,55 51 23 16 3,86 85 41 16 48,133 114 41 14 101,
pani,115555,20 22 3 13 0,37 28 3 21 2,51 45 18 35 14,73 67 36 43 75,,,37 28 3 13 1,51 39 12 31 14,72 67 21 39 71,
papa,125143,23 23 7 39 0,47 58 18 27 0,73 70 5 30 12,99 93 20 43 38,,,47 46 12 27 0,75 70 3 30 12,109 93 10 30 41,
papi,108000,12 26 0 0 0,17 40 9 27 0,54 53 36 20 17,66 66 38 21 46,,,23 33 20 14 0,36 60 38 23 6,69 66 21 10 48,
papo,120643,21 31 3 42 0,38 31 7 31 0,68 62 29 34 18,105 100 50 30 100,,,38 39 5 33 0,68 62 21 42 19,100 100 32 24 97,
para,93927,29 30 5 0 0,56 52 18 0 4,58 52 49 0 7,67 52 25 0 18,,,54 52 61 0 2,65 60 56 0 14,81 75 60 0 34,
para2,88991,31 31 9 0 0,60 63 43 0 6,64 63 60 0 10,76 63 67 0 21,,,61 63 67 0 5,69 63 56 0 12,81 63 56 0 32,
parb,98407,19 48 5 0 0,70 61 18 15 0,83 97 38 25 10,123 97 25 38 44,,,50 61 25 0 0,80 97 27 18 5,116 97 36 32 29,
pard,101600,39 41 1 0 0,67 82 72 6 0,89 101 113 6 32,104 117 90 6 62,155 163 74 6 107,,67 72 70 6 0,90 82 69 6 31,104 117 72 6 60,172 163 60 6 108
part,105230,12 10 0 17 0,29 27 10 25 0,38 38 32 66 9,56 43 12 44 28,,,30 27 10 33 0,36 38 47 77 6,56 43 12 46 28,
parx,94253,29 30 5 0 0,,,,78 67 65 18 28,,,,,74 60 76 48 32
parx2,88991,31 31 9 0 0,,,,94 63 21 4 39,,,,,85 63 43 17 29
pass,95998,21 18 0 0 0,32 25 5 33 0,46 37 1 38 11,60 50 3 39 27,,,33 37 5 67 0,46 37 1 36 9,59 50 3 29 27,
pats,93284,,27 27 12 0 2,37 36 43 0 8,43 45 49 0 20,,,37 36 47 0 8,42 40 56 0 17,,
pavo,110167,37 54 3 2 0,62 104 34 38 7,92 104 30 29 18,142 158 58 29 60,168 158 89 42 100,,55 81 23 34 0,87 104 25 32 17,149 138 20 27 54,185 158 61 38 89
peac,73423,15 16 7 0 0,15 16 7 7 0,31 27 10 21 0,46 44 36 57 15,,,21 27 3 57 0,29 27 14 26 0,44 38 20 29 10,
peit,123395,28 35 7 27 0,48 53 18 55 0,67 70 29 76 15,86 111 27 76 51,154 120 29 68 107,,47 35 3 58 0,66 70 21 49 14,83 111 23 51 39,160 120 23 48 105
perd,131161,17 21 7 24 0,39 50 25 28 2,80 71 20 48 60,135 107 9 53 110,,,41 50 20 28 3,79 71 14 46 59,131 107 9 43 110,
perf,79450,,37 43 23 0 3,51 43 18 0 22,53 70 41 0 27,,,52 43 20 0 22,52 65 43 0 25,,
pers,121334,19 21 1 13 0,50 43 20 2 4,78 64 27 19 42,118 78 29 10 104,,,50 43 20 2 3,76 78 23 19 39,122 78 10 10 102,
peta,93000,24 25 7 0 0,50 50 36 0 8,64 66 52 2 13,81 66 50 4 31,,,56 66 81 0 6,66 66 41 11 15,80 66 56 11 31,
peti,97158,,33 25 9 0 0,56 51 7 0 14,74 71 10 0 32,,,43 38 14 0 0,60 51 18 0 15,77 51 29 0 39,
petx,93000,24 25 7 0 0,,,,97 66 43 30 45,,,,,91 66 36 12 42
pevo,87554,32 33 1 0 0,63 58 38 0 4,65 66 72 0 11,85 66 54 0 31,175 116 80 9 113,,51 41 3 0 0,62 66 45 0 9,73 66 30 0 25,199 116 74 6 116
pevx,88761,32 33 1 0 0,,,,86 75 45 8 39,,,,,96 75 41 8 46
phlo,114162,15 23 3 12 0,36 38 7 15 0,67 61 16 30 31,97 92 50 27 100,,,36 38 7 15 0,68 61 14 30 31,98 92 47 29 100,
pier,104122,15 26 1 0 0,52 46 21 26 15,69 79 23 38 50,91 106 34 22 100,127 112 41 12 110,,52 46 9 24 15,69 79 18 35 40,90 103 29 19 100,125 109 36 12 109
pink,86429,,33 34 12 0 0,42 34 10 0 7,43 45 10 0 13,,,37 28 12 0 0,42 34 23 0 7,46 39 43 0 11,
plah,132923,12 16 9 23 0,27 32 14 3 0,44 43 18 27 14,57 65 41 26 53,,,26 27 21 30 0,46 43 16 15 12,53 48 20 34 41,
plan,99361,18 26 1 0 0,25 21 5 32 0,38 37 21 48 3,49 42 41 55 15,,,19 26 10 61 0,32 37 16 81 2,44 42 23 90 12,
play,99840,17 15 0 0 0,28 20 3 10 0,44 36 20 21 6,66 46 30 20 64,,,27 20 0 0 0,43 41 27 21 5,66 41 14 4 29,
pluf,98283,23 37 12 3 4,40 74 30 56 19,80 115 23 24 73,112 172 69 12 105,139 172 98 12 107,,42 56 14 14 19,79 115 34 13 70,115 153 27 16 105,144 153 72 16 110
plur,95076,9 25 0 0 0,71 100 29 59 23,83 145 54 31 100,127 158 76 29 116,131 158 76 35 118,,68 89 25 47 9,83 145 52 48 100,129 158 18 8 110,146 158 58 37 122
plut,105171,18 20 5 0 5,37 45 5 2 25,55 69 18 31 71,70 99 45 19 102,98 122 32 25 115,,38 45 5 2 25,56 79 25 9 72,72 89 32 19 105,99 122 23 15 119
plwf,103500,10 13 1 41 0,35 46 32 24 3,52 53 27 33 24,86 80 41 60 101,,,34 40 14 17 2,50 53 25 32 22,85 80 29 46 100,
poca,117473,7 15 0 12 0,18 31 10 39 0,54 55 54 29 12,89 71 47 33 48,,,19 31 9 33 0,57 55 25 30 11,88 71 27 33 45,
pock,107999,10 13 0 0 0,15 18 1 77 0,24 27 1 90 1,36 27 1 90 10,,,15 18 0 77 0,24 23 1 90 2,36 36 1 88 10,
poda,112000,11 17 1 7 0,25 26 20 2 0,50 61 30 7 0,83 70 32 7 30,,,25 26 16 2 0,47 43 32 7 0,80 70 30 4 27,
pola,115765,7 7 0 0 0,27 35 16 32 0,52 49 27 38 18,78 70 54 35 53,106 99 38 51 105,,24 28 7 26 0,52 42 5 41 18,77 70 21 25 47,104 85 18 20 102
polo,100276,20 18 0 14 0,29 30 1 21 0,45 42 7 74 7,65 48 12 9 35,,,29 30 1 21 0,46 48 12 74 8,67 48 1 0 29,
ponp,94631,,13 11 0 0 0,40 35 30 0 0,57 47 1 0 23,,,14 11 0 0 0,41 35 16 0 0,72 47 0 0 30,
pooc,118910,21 18 0 27 0,45 36 7 17 5,69 73 21 49 45,109 105 0 34 109,,,44 36 9 16 4,68 73 21 49 43,102 92 0 36 107,
popi,121200,28 25 0 11 0,46 50 25 5 5,68 66 50 16 19,100 104 70 15 86,,,47 50 16 6 4,66 66 63 10 16,100 100 56 14 82,
popn,90214,24 22 1 17 0,40 37 5 12 0,53 60 23 30 13,75 60 34 71 35,81 67 56 47 38,,40 37 5 14 0,53 60 23 33 13,74 60 30 60 33,81 60 54 51 38
pops,113248,9 5 0 0 0,16 17 1 8 0,36 46 21 19 0,64 46 27 17 29,,,16 17 1 8 0,36 46 12 19 0,64 46 23 17 29,
pori,110625,13 16 1 0 0,20 26 10 29 0,42 37 10 66 9,58 48 45 23 22,,,20 21 7 54 0,39 32 12 59 4,57 48 41 32 21,
pork,113722,12 14 1 0 0,16 19 1 30 0,28 29 1 65 3,40 39 1 65 12,,,,,,
pose,98400,17 22 0 0 0,26 45 30 23 0,45 68 43 8 19,60 99 25 21 46,,,32 45 12 2 1,46 53 10 6 19,56 61 30 14 29,
pose2,96321,18 24 1 0 0,32 37 20 39 0,52 49 52 19 14,81 81 45 21 82,,,24 31 10 25 0,48 56 50 21 9,77 81 32 11 68,
poss,108329,39 55 5 56 0,71 69 5 27 23,90 112 102 29 48,123 161 110 26 96,134 161 115 35 100,,69 69 5 44 23,90 112 70 26 42,129 161 110 22 94,146 161 112 20 100
poss2,108969,25 30 3 35 0,54 46 7 62 21,81 92 61 64 83,119 111 103 45 107,,,53 46 3 65 19,79 92 40 61 75,119 111 102 33 107,
poss3,118895,39 53 3 12 0,72 67 9 18 24,91 110 50 21 49,116 130 108 22 98,168 144 152 13 106,,72 67 14 31 24,95 110 65 14 61,122 130 87 18 91,281 144 224 10 119
pran,104997,29 31 9 13 0,51 39 10 39 7,70 62 38 20 33,91 78 60 15 70,119 112 70 17 105,,51 39 5 27 7,70 62 36 33 33,91 78 45 15 66,126 112 72 13 106
pran2,121890,33 31 1 1 0,56 63 25 19 9,80 63 36 9 34,140 113 58 10 105,,,54 63 20 17 7,75 63 32 46 29,131 101 40 12 101,
prds,113280,11 10 1 0 0,27 31 23 39 0,45 36 12 44 18,61 62 56 39 65,,,25 26 1 36 0,45 36 5 32 15,60 57 18 37 58,
pref,113489,13 16 3 0 0,24 32 14 0 0,53 48 27 0 19,98 86 23 29 108,,,24 32 14 0 0,53 48 23 0 19,96 86 21 29 109,
pres,89301,23 21 0 0 0,27 16 0 41 0,46 32 0 2 7,60 48 43 0 35,,,27 16 0 41 0,46 32 0 2 8,60 48 29 0 35,
pret,124565,5 7 0 11 0,12 15 3 47 0,30 26 10 58 8,48 42 16 65 69,,,13 15 0 53 0,26 26 1 65 6,48 42 5 45 47,
prey,100572,26 26 9 0 0,66 70 9 29 15,95 96 18 25 64,147 120 27 24 108,86 120 167 49 51,,66 70 29 34 16,91 87 32 30 49,136 120 25 32 105,82 120 181 25 50
prin,87692,,40 36 7 0 4,46 48 30 0 9,51 48 34 0 11,,,50 48 27 0 9,48 48 58 0 9,,
priv,103500,14 26 1 0 0,20 33 7 60 0,41 40 9 81 5,56 53 20 85 17,,,33 33 10 53 0,45 53 23 60 6,65 53 41 48 21,
proc,106500,14 20 0 4 0,37 33 12 30 0,53 53 20 55 23,88 93 18 18 101,,,36 33 10 31 0,53 53 16 47 21,89 93 18 14 102,
prog,109394,17 22 0 0 0,29 39 7 37 1,45 66 30 70 16,65 83 23 40 76,99 122 47 47 112,,26 33 5 33 0,43 61 25 55 14,63 78 25 40 63,93 122 27 32 112
prom,88792,13 17 3 0 0,22 21 7 96 0,31 29 25 106 6,56 42 29 44 39,,,,,,
prte,106072,23 27 0 0 0,32 27 3 14 0,50 55 18 23 13,74 97 20 13 76,,,28 27 3 13 0,50 55 21 21 13,77 97 25 23 89,
pryo,108292,9 13 1 0 0,16 18 1 46 0,34 32 7 79 4,50 45 29 71 24,,,,,,
ptay,103115,15 22 3 0 0,25 22 0 68 0,42 45 18 32 7,57 50 36 34 25,73 56 20 16 82,,25 28 14 19 0,42 45 20 32 7,55 45 20 34 21,54 45 30 38 23
pube,110936,18 24 1 2 0,43 48 12 45 2,75 89 80 89 29,119 114 101 61 101,,,42 48 3 38 2,72 64 87 74 20,98 114 117 36 76,
puda,96000,10 9 1 12 0,28 28 14 52 0,42 38 23 37 10,77 62 38 63 100,,,30 24 7 51 0,42 43 30 48 13,73 62 41 48 97,
pump,95006,15 18 1 4 0,23 23 25 43 0,36 37 32 31 4,56 47 27 29 52,,,21 23 14 57 0,35 37 20 33 4,51 47 10 59 34,
punc,95484,28 21 7 0 0,29 29 7 14 0,50 58 43 20 0,70 58 58 10 22,,,24 21 9 23 0,47 51 27 5 0,66 58 70 2 21,
puni,117333,23 30 9 22 0,37 37 21 58 0,65 60 23 35 24,87 82 25 33 80,,,37 37 18 56 0,62 60 27 39 25,86 82 14 39 79,
pupu,113847,15 19 9 23 0,33 52 23 41 0,66 52 21 37 25,94 84 29 32 104,,,33 52 21 41 0,64 52 21 37 23,89 78 27 32 102,
pure,112747,30 30 7 25 0,45 53 29 16 0,64 60 58 26 19,85 75 70 17 46,146 110 41 9 108,,45 53 29 23 0,64 60 58 27 19,87 75 50 20 48,147 110 34 10 108
purp,109896,13 16 10 0 0,19 29 29 0 0,31 33 45 7 4,44 50 58 7 19,,,,,,
purs,100800,17 24 1 0 0,35 49 23 34 4,77 108 56 41 106,114 133 60 35 121,,,36 43 12 35 5,79 105 32 40 106,111 120 36 37 123,
puru,123429,23 21 3 0 0,55 58 20 2 3,90 65 16 2 42,124 108 25 1 101,,,52 58 12 2 0,90 58 9 2 39,127 108 10 1 101,
put3,90013,17 15 0 0 0,29 25 1 22 0,46 40 9 44 11,55 40 14 42 19,,,27 25 7 11 0,44 40 30 7 8,62 55 5 8 59,
pute,90467,13 10 0 0 0,23 21 0 8 0,35 32 20 18 1,50 43 52 34 20,,,20 21 0 8 0,34 32 21 32 0,47 48 70 13 22,
puty,85500,16 15 3 0 0,29 25 1 0 0,33 35 12 0 3,47 40 7 0 17,81 75 12 15 103,,31 35 1 0 2,34 40 3 0 5,39 40 18 0 9,76 65 7 18 101
puty2,75929,17 15 3 0 0,39 30 7 0 4,43 35 18 0 12,54 35 5 0 22,60 55 47 51 74,,39 30 0 0 4,47 40 5 0 14,51 50 3 0 44,61 55 60 25 68
puzz,84889,18 22 0 0 0,28 28 0 40 0,39 33 7 54 3,48 45 7 35 10,,,29 28 7 8 0,36 33 29 12 0,50 45 18 8 15,
qmas,87568,19 18 9 0 0,31 30 10 56 0,50 42 30 47 14,62 60 25 48 37,,,30 30 7 57 0,49 42 29 22 9,59 42 21 1 30,
quav,106003,10 15 1 0 0,45 38 23 2 0,80 61 27 10 28,143 107 78 7 105,,,46 38 20 2 0,78 61 18 16 27,155 107 49 7 105,
quee,78509,,31 31 5 0 17,31 31 23 0 18,35 39 27 0 40,,,32 31 5 0 17,35 39 16 0 39,,
quic,99213,22 25 7 0 0,32 37 10 82 0,45 43 52 62 3,67 93 7 40 39,,,28 25 12 56 0,44 43 43 49 2,53 43 45 56 11,
qwer,118500,16 20 1 29 0,31 40 20 37 0,53 46 23 42 19,85 86 40 43 101,,,31 40 18 37 0,53 46 21 42 19,84 86 38 43 100,
raac,117176,24 28 5 29 0,49 42 25 34 6,68 56 49 18 27,99 106 41 30 103,,,49 42 25 34 6,68 56 45 18 27,98 106 43 30 104,
rabb,126066,19 21 3 6 0,39 43 3 3 0,61 57 12 3 11,117 125 30 11 104,,,39 36 1 3 0,61 57 10 3 11,108 125 23 11 102,
race,87463,,34 29 10 0 0,50 47 41 0 8,67 65 74 0 26,,,34 29 7 0 0,50 47 54 0 8,58 53 103 0 15,
raci,90190,13 26 1 9 0,36 32 1 24 1,63 52 21 29 24,110 85 14 18 105,,,36 32 12 14 1,64 52 12 35 24,106 91 18 20 105,
radi,102627,18 19 9 0 0,34 28 0 0 5,51 38 3 0 20,70 61 9 0 69,,,33 23 0 0 0,50 57 0 0 22,77 61 0 0 101,
radu,101760,17 20 3 0 0,21 26 14 0 0,37 36 20 49 7,53 41 3 4 30,,,22 26 9 0 0,35 31 12 16 4,48 41 14 9 16,
rage,91275,10 11 1 0 0,18 23 20 19 0,30 31 21 21 8,44 39 30 17 19,,,18 23 16 13 0,32 27 3 33 8,44 47 85 0 22,
rain,93851,15 17 5 0 0,16 23 5 75 0,44 46 3 110 24,67 64 30 13 64,,,21 23 1 40 0,44 35 7 19 11,54 58 5 102 50,
rair,91358,19 19 5 12 0,26 32 9 43 0,45 38 1 30 6,57 51 30 50 19,,,26 32 9 43 0,45 38 1 30 6,60 51 23 54 22,
raki,101452,14 20 12 22 0,47 54 30 40 5,65 61 18 40 22,83 68 21 37 66,,,47 54 30 40 5,63 61 25 40 21,78 61 23 45 48,
raku,119401,35 33 3 0 0,54 41 3 1 0,64 58 72 1 6,94 66 18 1 40,134 116 25 1 104,,51 41 3 1 0,63 49 16 4 7,93 66 5 5 39,138 108 30 1 103
ramp,102857,24 29 1 11 0,51 51 47 18 5,74 58 21 18 32,109 108 36 26 103,124 108 76 25 106,,49 51 45 11 5,73 58 21 16 32,118 108 38 26 106,132 108 70 25 107
rank,121195,26 25 10 20 0,40 41 30 29 0,70 66 63 43 24,101 104 74 35 101,,,39 41 25 29 0,69 66 49 47 24,97 104 60 40 100,
rapp,87935,21 27 12 0 0,25 23 7 0 0,40 37 14 0 9,58 46 58 8 39,,,,,,
rara,88131,18 14 0 0 0,20 29 0 0 0,39 59 7 29 1,69 59 0 32 22,,,24 29 0 0 0,51 59 0 2 5,68 59 0 20 20,
rasp,102000,25 20 0 0 0,36 33 16 3 0,46 46 43 5 0,57 53 61 15 7,61 53 50 1 20,,37 33 14 3 0,47 46 36 8 0,57 53 45 21 16,64 53 74 0 23
ravi,116800,17 20 7 20 0,37 46 23 31 10,69 97 47 22 105,95 106 61 14 121,,,42 61 20 15 20,68 97 47 24 106,93 103 65 16 125,
rbow,101760,17 24 1 0 0,24 30 16 30 0,35 49 54 26 0,57 49 32 67 24,,13 18 7 0 0,20 24 9 56 0,38 37 18 42 3,56 49 18 55 22,
reac,91762,21 35 10 14 0,30 35 12 21 0,57 49 16 35 13,72 63 21 34 38,,,,,,
rear,89709,20 25 10 32 0,32 42 10 51 0,63 68 25 65 15,91 85 50 47 60,,,30 42 3 50 0,63 60 16 40 13,86 85 29 46 44,
rebi,92837,25 31 0 0 0,60 63 52 0 5,69 63 45 0 15,93 63 16 0 40,,,60 63 29 0 6,69 63 65 0 13,91 63 10 0 37,
rebo,107999,17 17 1 0 0,27 29 5 42 0,42 46 18 32 4,51 46 21 23 16,,,27 35 5 40 0,41 40 14 33 4,60 58 27 27 22,
rebx,92837,25 31 0 0 0,,,,99 71 25 25 51,,,,,104 71 30 14 52
reda,96449,14 21 20 0 0,20 21 10 2 0,38 37 14 61 5,45 58 47 42 11,,,,,,
redc,108631,16 15 1 12 1,27 23 3 25 9,60 51 7 16 79,93 71 18 33 112,,,26 23 3 30 8,57 47 5 16 64,88 63 21 29 110,
redf,121520,16 19 0 12 0,39 46 23 48 0,57 46 5 25 18,81 72 29 23 65,124 102 32 19 107,,39 39 16 44 0,56 46 9 27 17,79 72 21 32 53,133 102 21 18 108
redr,104742,15 19 18 0 0,32 29 5 28 0,38 39 61 20 3,65 59 20 0 76,,,27 34 45 20 5,39 34 41 21 7,63 44 14 0 45,
refl,95627,11 15 10 0 0,19 26 5 38 0,40 36 12 21 10,61 63 54 32 49,,,23 26 5 11 0,36 42 18 50 10,55 42 32 19 24,
rege,118637,22 22 10 29 0,38 44 18 63 1,64 66 27 59 28,96 101 74 38 101,,,38 44 16 62 1,65 58 23 60 28,93 101 72 37 100,
